UF;UNIDADE;UNIDADE_PADRAO_AEROPORTUARIO;CIDADE_APREENSAO;DATA;DROGA;QUANTIDADE;UNIDADE_MEDIDA;ORIGEM;lat;lon
SP;SR/PF/SP;GRU;GUARULHOS;05/18/2019;skunk;3945;gramas;aeroporto;-23,43555641;-46,47305679
BA;SR/PF/BA;SSA;SALVADOR;05/19/2019;cocaina;2500;gramas;aeroporto;-12,9086113;-38,32249832
BA;SR/PF/BA;SSA;SALVADOR;05/19/2019;cocaina;2500;gramas;aeroporto;-12,9086113;-38,32249832
MG;SR/PF/MG;CNF;BELO HORIZONTE;05/19/2019;cocaina;34000;gramas;aeroporto;-19,62444305;-43,9719429
SP;SR/PF/SP;GRU;GUARULHOS;05/19/2019;cocaina;2023;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;05/19/2019;cocaina;2090;gramas;aeroporto;-23,43555641;-46,47305679
PE;SR/PF/PE;REC;RECIFE;05/20/2019;cocaina;3700;gramas;aeroporto;-8,126489639;-34,92359924
DF;SR/PF/DF;BSB;BRASILIA;05/21/2019;skunk;4300;gramas;aeroporto;-15,86916733;-47,92083359
ES;SR/PF/ES;VIX;VITORIA;05/21/2019;cocaina;7291;gramas;aeroporto;-20,25805664;-40,2863884
RO;SR/PF/RO;PVH;PORTO VELHO;05/23/2019;cocaina;5395;gramas;aeroporto;-8,709289551;-63,90230179
SP;SR/PF/SP;GRU;GUARULHOS;05/23/2019;cocaina;2883;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;05/25/2019;cocaina;895;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;05/25/2019;cocaina;5998;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;05/25/2019;cocaina;6220;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;05/25/2019;cocaina;6220;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;05/25/2019;cocaina;1969;gramas;aeroporto;-23,43555641;-46,47305679
PR;DPF/FIG/PR;IGU;FOZ DO IGUACU;05/26/2019;maconha;975;gramas;aeroporto;-25,60027885;-54,48500061
SP;SR/PF/SP;GRU;GUARULHOS;05/26/2019;cocaina;2633;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;05/26/2019;cocaina;46015;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;05/26/2019;cocaina;3001;gramas;aeroporto;-23,43555641;-46,47305679
MG;SR/PF/MG;CNF;BELO HORIZONTE;05/28/2019;ecstasy;52083;comprimidos;aeroporto;-19,62444305;-43,9719429
PE;SR/PF/PE;REC;RECIFE;05/28/2019;skunk;22111;gramas;aeroporto;-8,126489639;-34,92359924
MS;SR/PF/MS;CGR;CAMPO GRANDE;05/29/2019;maconha;25500;gramas;aeroporto;-20,46870041;-54,67250061
SP;SR/PF/SP;GRU;GUARULHOS;05/30/2019;cocaina;1141;gramas;aeroporto;-23,43555641;-46,47305679
SP;DPF/CAS/SP;VCP;CAMPINAS;05/30/2019;cocaina;500;gramas;aeroporto;-23,00740051;-47,1344986
SP;DPF/CAS/SP;VCP;CAMPINAS;05/31/2019;cocaina;;gramas;aeroporto;-23,00740051;-47,1344986
AC;SR/PF/AC;RBR;RIO BRANCO;06/01/2019;cocaina;3285;gramas;aeroporto;-9,868888855;-67,89805603
SP;SR/PF/SP;GRU;GUARULHOS;06/01/2019;cocaina;8179;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/02/2019;cocaina;2697;gramas;aeroporto;-23,43555641;-46,47305679
ES;SR/PF/ES;VIX;VITORIA;06/03/2019;maconha;;gramas;aeroporto;-20,25805664;-40,2863884
ES;SR/PF/ES;VIX;VITORIA;06/03/2019;ecstasy;;comprimidos;aeroporto;-20,25805664;-40,2863884
MG;SR/PF/MG;CNF;BELO HORIZONTE;06/03/2019;skunk;15000;gramas;aeroporto;-19,62444305;-43,9719429
RJ;SR/PF/RJ;GIG;RIO DE JANEIRO;06/03/2019;cocaina;8170;gramas;aeroporto;-22,80999947;-43,25055695
SP;SR/PF/SP;GRU;GUARULHOS;06/05/2019;cocaina;2696;gramas;aeroporto;-23,43555641;-46,47305679
RJ;SR/PF/RJ;GIG;RIO DE JANEIRO;06/07/2019;cocaina;2075;gramas;aeroporto;-22,80999947;-43,25055695
SP;SR/PF/SP;GRU;GUARULHOS;06/07/2019;cocaina;2575;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;06/08/2019;cocaina;2426;gramas;aeroporto;-23,43555641;-46,47305679
SP;DPF/CAS/SP;VCP;CAMPINAS;06/08/2019;cocaina;;gramas;aeroporto;-23,00740051;-47,1344986
