UF;UNIDADE;UNIDADE_PADRAO_AEROPORTUARIO;CIDADE_APREENSAO;DATA;DROGA;QUANTIDADE;UNIDADE_MEDIDA;ORIGEM;lat;lon
SP;SR/PF/SP;GRU;GUARULHOS;09/07/2019;cocaina;16022;gramas;aeroporto;-23,43555641;-46,47305679
PA;SR/DPF/PA;BEL;BELEM;09/08/2019;cocaina;3503;gramas;aeroporto;-1,37925005;-48,47629929
SP;SR/PF/SP;GRU;GUARULHOS;09/08/2019;cocaina;2980;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;09/08/2019;cocaina;2971;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;09/09/2019;cocaina;14722;gramas;aeroporto;-23,43555641;-46,47305679
SP;DPF/CAS/SP;VCP;CAMPINAS;09/10/2019;cocaina;110;gramas;aeroporto;-23,00740051;-47,1344986
RS;SR/DPF/RS;POA;PORTO ALEGRE;09/11/2019;ecstasy;100838;comprimidos;aeroporto;-29,99440002;-51,17139816
SP;SR/PF/SP;GRU;GUARULHOS;09/12/2019;cocaina;6441;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;09/12/2019;anfetamina;40967;comprimidos;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;09/14/2019;cocaina;1296,5;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;09/14/2019;cocaina;1296,5;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;09/15/2019;cocaina;4007;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;09/15/2019;cocaina;5495;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;09/15/2019;cocaina;9000;gramas;aeroporto;-23,43555641;-46,47305679
RS;SR/DPF/RS;POA;PORTO ALEGRE;09/16/2019;ecstasy;34417;comprimidos;aeroporto;-29,99440002;-51,17139816
RJ;SR/PF/RJ;GIG;RIO DE JANEIRO;09/19/2019;ecstasy;22917;comprimidos;aeroporto;-22,80999947;-43,25055695
SP;SR/PF/SP;GRU;GUARULHOS;09/19/2019;cocaina;18226;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;09/19/2019;cocaina;1645;gramas;aeroporto;-23,43555641;-46,47305679
SP;SR/PF/SP;GRU;GUARULHOS;09/19/2019;cocaina;3983;gramas;aeroporto;-23,43555641;-46,47305679
